Timestamp,Frame_ID,DLC,Data
00.010000,0x100,8,800C328201000000
00.010000,0x102,8,0000000000000000
00.010000,0x101,8,0100000000000000
00.010000,0x200,8,0400000000000000
00.020000,0x100,8,A80C328202000000
00.020000,0x102,8,2800000000000000
00.030000,0x100,8,D00C328203000000
00.030000,0x102,8,5000000000000000
00.030000,0x101,8,0100000000000000
00.040000,0x100,8,F80C328204000000
00.040000,0x102,8,7800000000000000
00.050000,0x100,8,200D328205000000
00.050000,0x102,8,A000000000000000
00.050000,0x101,8,0100000000000000
00.060000,0x100,8,480D328206000000
00.060000,0x102,8,C800000000000000
00.070000,0x100,8,700D328207000000
00.070000,0x102,8,F000000000000000
00.070000,0x101,8,0100000000000000
00.080000,0x100,8,980D328208000000
00.080000,0x102,8,1801000000000000
00.090000,0x100,8,C00D328209000000
00.090000,0x102,8,4001000000000000
00.090000,0x101,8,0100000000000000
00.100000,0x100,8,E80D32820A000000
00.100000,0x102,8,6801000000000000
00.110000,0x100,8,100E32820B000000
00.110000,0x102,8,9001000000000000
00.110000,0x101,8,0100000000000000
00.110000,0x200,8,0400000000000000
00.120000,0x100,8,380E32820C000000
00.120000,0x102,8,B801000000000000
00.130000,0x100,8,600E32820D000000
00.130000,0x102,8,E001000000000000
00.130000,0x101,8,0100000000000000
00.140000,0x100,8,880E32820E000000
00.140000,0x102,8,0802000000000000
00.150000,0x100,8,B00E32820F000000
00.410200,0x102,8,9411000000000000
00.410400,0x102,8,9411000000000000
00.410600,0x102,8,9411000000000000
00.410800,0x102,8,9411000000000000
00.411000,0x102,8,9411000000000000
00.411200,0x102,8,9411000000000000
00.411400,0x102,8,9411000000000000
00.411600,0x102,8,9411000000000000
00.411800,0x102,8,9411000000000000
00.412000,0x102,8,9411000000000000
00.412200,0x102,8,9411000000000000
00.412400,0x102,8,9411000000000000
00.412600,0x102,8,9411000000000000
00.412800,0x102,8,9411000000000000
00.413000,0x102,8,9411000000000000
00.413200,0x102,8,9411000000000000
00.413400,0x102,8,9411000000000000
00.413600,0x102,8,9411000000000000
00.413800,0x102,8,9411000000000000
00.414000,0x102,8,9411000000000000
00.414200,0x102,8,9411000000000000
00.414400,0x102,8,9411000000000000
00.414600,0x102,8,9411000000000000
00.414800,0x102,8,9411000000000000
00.415000,0x102,8,9411000000000000
00.415200,0x102,8,9411000000000000
00.415400,0x102,8,9411000000000000
00.415600,0x102,8,9411000000000000
00.415800,0x102,8,9411000000000000
00.416000,0x102,8,9411000000000000
00.466000,0x100,4,FFFFFFFF
00.516000,0x100,8,0000008202000000
00.518000,0x102,8,3421000000000000
00.520000,0x101,8,0000000000000000
