timestamp,frame_id,frame_name,affected_signal,category,severity,diagnosis,value,expected,possible_causes
0.4104,0x102,ABS_Brake_Data,Bus Transmission Rate,DoS / Message Flooding Attack,CRITICAL,"DoS Flooding Attack / High-Frequency Burst: Frame 0x102 (ABS_Brake_Data) received with inter-message delta 0.20ms (expected nominal 10.0ms, ratio 0.02)",Delta = 0.20 ms,Nominal = 10.0 ms,Compromised ECU flooding the CAN bus (Denial of Service attack) | Replay attack continuously resending captured telemetry frames | ECU bus controller malfunction sending rapid retries
0.4106,0x102,ABS_Brake_Data,Bus Transmission Rate,DoS / Message Flooding Attack,CRITICAL,"DoS Flooding Attack / High-Frequency Burst: Frame 0x102 (ABS_Brake_Data) received with inter-message delta 0.20ms (expected nominal 10.0ms, ratio 0.02)",Delta = 0.20 ms,Nominal = 10.0 ms,Compromised ECU flooding the CAN bus (Denial of Service attack) | Replay attack continuously resending captured telemetry frames | ECU bus controller malfunction sending rapid retries
0.4108,0x102,ABS_Brake_Data,Bus Transmission Rate,DoS / Message Flooding Attack,CRITICAL,"DoS Flooding Attack / High-Frequency Burst: Frame 0x102 (ABS_Brake_Data) received with inter-message delta 0.20ms (expected nominal 10.0ms, ratio 0.02)",Delta = 0.20 ms,Nominal = 10.0 ms,Compromised ECU flooding the CAN bus (Denial of Service attack) | Replay attack continuously resending captured telemetry frames | ECU bus controller malfunction sending rapid retries
0.411,0x102,ABS_Brake_Data,Bus Transmission Rate,DoS / Message Flooding Attack,CRITICAL,"DoS Flooding Attack / High-Frequency Burst: Frame 0x102 (ABS_Brake_Data) received with inter-message delta 0.20ms (expected nominal 10.0ms, ratio 0.02)",Delta = 0.20 ms,Nominal = 10.0 ms,Compromised ECU flooding the CAN bus (Denial of Service attack) | Replay attack continuously resending captured telemetry frames | ECU bus controller malfunction sending rapid retries
0.4112,0x102,ABS_Brake_Data,Bus Transmission Rate,DoS / Message Flooding Attack,CRITICAL,"DoS Flooding Attack / High-Frequency Burst: Frame 0x102 (ABS_Brake_Data) received with inter-message delta 0.20ms (expected nominal 10.0ms, ratio 0.02)",Delta = 0.20 ms,Nominal = 10.0 ms,Compromised ECU flooding the CAN bus (Denial of Service attack) | Replay attack continuously resending captured telemetry frames | ECU bus controller malfunction sending rapid retries
0.4114,0x102,ABS_Brake_Data,Bus Transmission Rate,DoS / Message Flooding Attack,CRITICAL,"DoS Flooding Attack / High-Frequency Burst: Frame 0x102 (ABS_Brake_Data) received with inter-message delta 0.20ms (expected nominal 10.0ms, ratio 0.02)",Delta = 0.20 ms,Nominal = 10.0 ms,Compromised ECU flooding the CAN bus (Denial of Service attack) | Replay attack continuously resending captured telemetry frames | ECU bus controller malfunction sending rapid retries
0.4116,0x102,ABS_Brake_Data,Bus Transmission Rate,DoS / Message Flooding Attack,CRITICAL,"DoS Flooding Attack / High-Frequency Burst: Frame 0x102 (ABS_Brake_Data) received with inter-message delta 0.20ms (expected nominal 10.0ms, ratio 0.02)",Delta = 0.20 ms,Nominal = 10.0 ms,Compromised ECU flooding the CAN bus (Denial of Service attack) | Replay attack continuously resending captured telemetry frames | ECU bus controller malfunction sending rapid retries
0.4118,0x102,ABS_Brake_Data,Bus Transmission Rate,DoS / Message Flooding Attack,CRITICAL,"DoS Flooding Attack / High-Frequency Burst: Frame 0x102 (ABS_Brake_Data) received with inter-message delta 0.20ms (expected nominal 10.0ms, ratio 0.02)",Delta = 0.20 ms,Nominal = 10.0 ms,Compromised ECU flooding the CAN bus (Denial of Service attack) | Replay attack continuously resending captured telemetry frames | ECU bus controller malfunction sending rapid retries
0.412,0x102,ABS_Brake_Data,Bus Transmission Rate,DoS / Message Flooding Attack,CRITICAL,"DoS Flooding Attack / High-Frequency Burst: Frame 0x102 (ABS_Brake_Data) received with inter-message delta 0.20ms (expected nominal 10.0ms, ratio 0.02)",Delta = 0.20 ms,Nominal = 10.0 ms,Compromised ECU flooding the CAN bus (Denial of Service attack) | Replay attack continuously resending captured telemetry frames | ECU bus controller malfunction sending rapid retries
0.4122,0x102,ABS_Brake_Data,Bus Transmission Rate,DoS / Message Flooding Attack,CRITICAL,"DoS Flooding Attack / High-Frequency Burst: Frame 0x102 (ABS_Brake_Data) received with inter-message delta 0.20ms (expected nominal 10.0ms, ratio 0.02)",Delta = 0.20 ms,Nominal = 10.0 ms,Compromised ECU flooding the CAN bus (Denial of Service attack) | Replay attack continuously resending captured telemetry frames | ECU bus controller malfunction sending rapid retries
