timestamp,frame_id,frame_name,Alive_Counter,Brake_Pedal_Pct,Brake_Pressure,Clutch_State,Door_State,Engine_Speed,Engine_Temp,Gear_Position,Headlight_State,Throttle_Pedal_Pct,Vehicle_Speed
0.010000,0x100,Engine_Data,1.000,,,,,800.000,90.000,,,20.000,
0.010000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,0.000
0.010000,0x101,Transmission_Data,,,,0.000,,,,1.000,,,
0.010000,0x200,BCM_Body_Data,,,,,0.000,,,,1.000,,
0.020000,0x100,Engine_Data,2.000,,,,,810.000,90.000,,,20.000,
0.020000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,0.400
0.030000,0x100,Engine_Data,3.000,,,,,820.000,90.000,,,20.000,
0.030000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,0.800
0.030000,0x101,Transmission_Data,,,,0.000,,,,1.000,,,
0.040000,0x100,Engine_Data,4.000,,,,,830.000,90.000,,,20.000,
0.040000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,1.200
0.050000,0x100,Engine_Data,5.000,,,,,840.000,90.000,,,20.000,
0.050000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,1.600
0.050000,0x101,Transmission_Data,,,,0.000,,,,1.000,,,
0.060000,0x100,Engine_Data,6.000,,,,,850.000,90.000,,,20.000,
0.060000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,2.000
0.070000,0x100,Engine_Data,7.000,,,,,860.000,90.000,,,20.000,
0.070000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,2.400
0.070000,0x101,Transmission_Data,,,,0.000,,,,1.000,,,
0.080000,0x100,Engine_Data,8.000,,,,,870.000,90.000,,,20.000,
0.080000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,2.800
0.090000,0x100,Engine_Data,9.000,,,,,880.000,90.000,,,20.000,
0.090000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,3.200
0.090000,0x101,Transmission_Data,,,,0.000,,,,1.000,,,
0.100000,0x100,Engine_Data,10.000,,,,,890.000,90.000,,,20.000,
0.100000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,3.600
0.110000,0x100,Engine_Data,11.000,,,,,900.000,90.000,,,20.000,
0.110000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,4.000
0.110000,0x101,Transmission_Data,,,,0.000,,,,1.000,,,
0.110000,0x200,BCM_Body_Data,,,,,0.000,,,,1.000,,
0.120000,0x100,Engine_Data,12.000,,,,,910.000,90.000,,,20.000,
0.120000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,4.400
0.130000,0x100,Engine_Data,13.000,,,,,920.000,90.000,,,20.000,
0.130000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,4.800
0.130000,0x101,Transmission_Data,,,,0.000,,,,1.000,,,
0.140000,0x100,Engine_Data,14.000,,,,,930.000,90.000,,,20.000,
0.140000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,5.200
0.150000,0x100,Engine_Data,15.000,,,,,940.000,90.000,,,20.000,
0.410200,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.410400,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.410600,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.410800,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.411000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.411200,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.411400,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.411600,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.411800,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.412000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.412200,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.412400,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.412600,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.412800,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.413000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.413200,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.413400,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.413600,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.413800,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.414000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.414200,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.414400,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.414600,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.414800,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.415000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.415200,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.415400,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.415600,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.415800,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.416000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,45.000
0.466000,0x100,Engine_Data,0.000,,,,,16383.750,215.000,,,102.000,
0.516000,0x100,Engine_Data,2.000,,,,,0.000,90.000,,,0.000,
0.518000,0x102,ABS_Brake_Data,,0.000,0.000,,,,,,,,85.000
0.520000,0x101,Transmission_Data,,,,0.000,,,,0.000,,,
